Year;Country;Arrivals from foreign countries(german);Departures to foreign countries(german);Arrivals from foreign countries;Departures to foreign countries
2021;Korea, Republic of;208;249;4151;3707
2021;United Arab Emirates;954;1512;2832;2130
2021;Tajikistan;19;19;1355;428
2021;Saudi Arabia;180;192;1131;957
2021;Singapore;667;418;1491;866
2021;Syrian;102;55;42153;674
2021;Thailand;894;1333;3733;2788
2021;Uzbekistan;52;29;983;375
2021;China;1565;1143;16171;14444
2021;Australia;1085;1182;2390;2643
2021;New Zealand;351;439;667;806
2022;Albania;56;90;19016;6217
2022;Bosnia and Herzegovina;105;185;21569;10073
2022;Andorra;8;18;18;32
2022;Belgium;1514;1981;5300;5183
2022;Bulgaria;365;1240;71835;58671
2022;Denmark;808;3387;3248;5992
2022;Estonia;49;106;923;718
2022;Finland;244;487;2060;1893
2022;France;4067;6301;19088;18936
2022;Croatia;350;1100;22076;20683
2022;Slovenia;95;184;3163;2120
2022;Greece;679;1441;23295;18086
2022;Ireland;635;1134;3536;3380
2022;Iceland;55;125;265;329
2022;Italy;1746;3214;44943;36374
2022;Latvia;113;134;5558;4234
2022;Montenegro;61;226;2417;1449
2022;Lithuania;80;127;6508;6289
2022;Luxembourg;495;658;3644;2868
2022;North Macedonia;65;82;23325;10509
2022;Malta;142;294;532;451
2022;Netherlands;2344;3806;12545;12929
2022;Norway;629;1481;1842;2762
2022;Kosovo;144;140;20560;4351
2022;Austria;6255;12423;17700;24104
2022;Poland;2170;4606;107060;89408
2022;Portugal;1209;2757;9258;9178
2022;Romania;679;1516;204637;169484
2022;Slovakia;92;169;10595;8130
2022;Sweden;1155;3457;5698;6159
2022;Switzerland;8581;20107;13918;28906
2022;Russian Federation;5622;2871;31520;9339
2022;Spain;4443;8658;30772;26399
2022;Turkey;5974;5722;81108;31804
2022;Czechia;485;784;9987;7670
2022;Hungary;652;2052;29895;26832
2022;Ukraine;2265;439;1097882;138355
2022;United Kingdom;4045;5014;13458;15342
2022;Belarus;261;165;3496;999
2022;Serbia;213;385;25678;15226
2022;Cyprus;320;951;1026;1391
2022;Algeria;173;141;4778;3587
2022;Angola;14;9;442;214
2022;Ethiopia;123;109;2238;752
2022;Cote d'Ivoire;44;37;720;424
2022;Nigeria;238;106;4230;641
2022;Ghana;219;144;3679;1588
2022;Kenya;262;200;2173;636
2022;Congo, Republic of the;14;9;219;129
